,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,cluster
BL11 IN,0.1,0.0,0.0,0.08,0.21,0.54,0.38,0.32,0.36,0.39,0.4,0.43,0.46,0.54,0.74,0.92,0.7,0.55,0.56,0.51,0.26,0.07,0.0,0.0,0.07,0.21,0.55,0.37,0.32,0.35,0.37,0.39,0.4,0.44,0.58,0.73,0.81,0.6,0.45,0.48,0.44,0.21,0.1,0.0,0.0,0.06,0.19,0.49,0.32,0.29,0.32,0.38,0.4,0.43,0.45,0.52,0.74,0.89,0.68,0.54,0.61,0.56,0.27,0.1,0.0,0.0,0.07,0.21,0.54,0.37,0.32,0.35,0.38,0.43,0.44,0.46,0.56,0.75,0.94,0.71,0.55,0.62,0.6,0.29,0.18,0.0,0.0,0.07,0.21,0.54,0.38,0.35,0.38,0.4,0.46,0.46,0.5,0.6,0.82,1.0,0.77,0.62,0.7,0.74,0.4,0.18,0.0,0.0,0.06,0.12,0.2,0.29,0.37,0.44,0.5,0.57,0.63,0.64,0.77,0.93,0.89,0.76,0.73,0.77,0.74,0.42,0.11,0.0,0.0,0.06,0.1,0.18,0.27,0.35,0.42,0.45,0.51,0.57,0.63,0.75,0.85,0.81,0.71,0.64,0.65,0.54,0.29,1
BL12 IN,0.07,0.0,0.0,0.07,0.3,0.78,0.53,0.41,0.4,0.46,0.49,0.46,0.45,0.48,0.68,0.86,0.66,0.51,0.51,0.6,0.19,0.06,0.0,0.0,0.06,0.27,0.71,0.5,0.36,0.36,0.43,0.46,0.44,0.44,0.53,0.72,0.8,0.58,0.43,0.42,0.5,0.15,0.07,0.0,0.0,0.05,0.21,0.59,0.41,0.33,0.33,0.4,0.45,0.44,0.44,0.47,0.67,0.82,0.62,0.47,0.5,0.58,0.18,0.07,0.0,0.0,0.06,0.27,0.71,0.51,0.4,0.38,0.45,0.51,0.47,0.45,0.49,0.71,0.9,0.67,0.51,0.55,0.61,0.18,0.11,0.0,0.0,0.06,0.27,0.69,0.52,0.41,0.42,0.48,0.55,0.52,0.52,0.56,0.8,1.0,0.82,0.63,0.66,0.79,0.28,0.11,0.0,0.0,0.06,0.17,0.35,0.45,0.55,0.64,0.69,0.73,0.71,0.68,0.72,0.88,0.83,0.64,0.58,0.6,0.7,0.26,0.11,0.0,0.0,0.04,0.11,0.24,0.34,0.46,0.53,0.59,0.63,0.62,0.66,0.69,0.84,0.84,0.72,0.69,0.73,0.66,0.32,1
BL13 IN,0.03,0.0,0.0,0.03,0.08,0.21,0.18,0.16,0.21,0.32,0.26,0.26,0.24,0.37,0.63,0.92,0.5,0.29,0.29,0.24,0.13,0.03,0.0,0.0,0.03,0.08,0.21,0.18,0.18,0.24,0.32,0.29,0.26,0.29,0.58,0.71,0.82,0.45,0.24,0.26,0.24,0.11,0.03,0.0,0.0,0.03,0.08,0.21,0.18,0.16,0.21,0.32,0.26,0.26,0.26,0.37,0.66,0.95,0.47,0.29,0.32,0.26,0.11,0.03,0.0,0.0,0.03,0.08,0.24,0.18,0.18,0.24,0.32,0.29,0.29,0.29,0.42,0.68,1.0,0.53,0.32,0.34,0.29,0.13,0.05,0.0,0.0,0.03,0.08,0.24,0.21,0.21,0.26,0.39,0.32,0.32,0.32,0.34,0.66,0.95,0.5,0.29,0.34,0.29,0.18,0.03,0.0,0.0,0.03,0.05,0.11,0.16,0.18,0.24,0.29,0.29,0.29,0.32,0.37,0.53,0.42,0.26,0.21,0.24,0.24,0.08,0.03,0.0,0.0,0.03,0.05,0.11,0.13,0.18,0.26,0.26,0.32,0.29,0.32,0.29,0.39,0.32,0.21,0.16,0.18,0.13,0.05,2
BL14 IN,0.04,0.0,0.0,0.04,0.13,0.31,0.2,0.15,0.16,0.24,0.27,0.29,0.33,0.4,0.65,0.93,0.67,0.4,0.38,0.25,0.09,0.04,0.0,0.0,0.04,0.13,0.31,0.2,0.15,0.16,0.24,0.25,0.27,0.33,0.53,0.67,0.82,0.56,0.33,0.35,0.24,0.07,0.04,0.0,0.0,0.02,0.11,0.29,0.18,0.13,0.16,0.22,0.27,0.27,0.31,0.4,0.64,0.89,0.62,0.38,0.4,0.29,0.11,0.04,0.0,0.0,0.04,0.13,0.31,0.22,0.15,0.18,0.25,0.27,0.29,0.35,0.4,0.67,0.96,0.67,0.4,0.44,0.31,0.11,0.07,0.0,0.0,0.04,0.13,0.31,0.2,0.15,0.2,0.27,0.31,0.33,0.36,0.45,0.71,1.0,0.71,0.44,0.49,0.4,0.16,0.05,0.0,0.0,0.02,0.05,0.09,0.13,0.16,0.22,0.33,0.4,0.44,0.55,0.65,0.8,0.73,0.51,0.4,0.45,0.35,0.15,0.04,0.0,0.0,0.02,0.05,0.09,0.11,0.13,0.2,0.31,0.36,0.44,0.49,0.56,0.65,0.62,0.44,0.35,0.33,0.2,0.07,1
BL15 IN,0.07,0.0,0.0,0.03,0.11,0.25,0.18,0.15,0.2,0.28,0.38,0.43,0.46,0.52,0.67,0.9,0.82,0.69,0.74,0.66,0.18,0.07,0.0,0.0,0.03,0.11,0.26,0.18,0.15,0.2,0.26,0.36,0.43,0.49,0.61,0.8,0.85,0.7,0.59,0.66,0.57,0.16,0.07,0.0,0.0,0.03,0.1,0.23,0.16,0.13,0.18,0.26,0.36,0.41,0.46,0.54,0.69,0.89,0.79,0.69,0.77,0.69,0.2,0.07,0.0,0.0,0.03,0.11,0.26,0.18,0.15,0.2,0.28,0.38,0.43,0.48,0.56,0.72,0.93,0.84,0.72,0.87,0.77,0.23,0.13,0.0,0.0,0.03,0.11,0.26,0.18,0.16,0.21,0.3,0.41,0.48,0.52,0.61,0.75,1.0,0.87,0.79,0.9,0.98,0.36,0.11,0.0,0.0,0.03,0.05,0.1,0.15,0.16,0.23,0.34,0.48,0.59,0.67,0.79,0.9,0.85,0.77,0.77,0.84,0.84,0.3,0.05,0.0,0.0,0.03,0.05,0.08,0.11,0.13,0.2,0.26,0.39,0.52,0.62,0.64,0.72,0.69,0.62,0.62,0.67,0.57,0.16,1
BL16 IN,0.07,0.0,0.0,0.03,0.07,0.19,0.14,0.12,0.16,0.19,0.24,0.29,0.33,0.38,0.55,0.97,0.78,0.55,0.57,0.52,0.21,0.07,0.0,0.0,0.03,0.09,0.19,0.14,0.12,0.14,0.19,0.24,0.28,0.33,0.48,0.67,0.9,0.66,0.48,0.52,0.45,0.19,0.07,0.0,0.0,0.03,0.07,0.17,0.12,0.1,0.14,0.19,0.22,0.28,0.31,0.38,0.52,0.91,0.72,0.55,0.64,0.59,0.22,0.09,0.0,0.0,0.03,0.07,0.19,0.14,0.12,0.16,0.21,0.26,0.31,0.33,0.41,0.57,0.98,0.78,0.59,0.66,0.64,0.26,0.16,0.0,0.0,0.03,0.07,0.19,0.14,0.14,0.16,0.22,0.28,0.33,0.36,0.43,0.59,1.0,0.79,0.59,0.71,0.72,0.36,0.14,0.0,0.0,0.03,0.03,0.07,0.1,0.12,0.17,0.22,0.29,0.4,0.45,0.53,0.62,0.59,0.53,0.52,0.6,0.59,0.31,0.07,0.0,0.0,0.03,0.03,0.07,0.09,0.1,0.14,0.19,0.24,0.34,0.4,0.43,0.52,0.47,0.41,0.41,0.45,0.4,0.17,1
BL17 IN,0.06,0.0,0.0,0.03,0.12,0.32,0.21,0.18,0.21,0.26,0.29,0.32,0.32,0.35,0.56,0.97,0.82,0.47,0.44,0.41,0.18,0.06,0.0,0.0,0.03,0.12,0.32,0.21,0.15,0.18,0.26,0.29,0.32,0.32,0.47,0.68,0.88,0.68,0.44,0.41,0.35,0.15,0.06,0.0,0.0,0.03,0.12,0.29,0.21,0.15,0.18,0.24,0.26,0.29,0.32,0.35,0.53,0.94,0.74,0.47,0.5,0.44,0.18,0.06,0.0,0.0,0.03,0.12,0.32,0.24,0.15,0.21,0.26,0.32,0.32,0.35,0.38,0.56,1.0,0.82,0.5,0.56,0.5,0.18,0.12,0.0,0.0,0.03,0.12,0.32,0.24,0.18,0.21,0.29,0.35,0.35,0.38,0.41,0.62,1.0,0.82,0.56,0.59,0.62,0.26,0.12,0.0,0.0,0.03,0.06,0.12,0.15,0.18,0.21,0.29,0.35,0.41,0.44,0.47,0.56,0.53,0.44,0.41,0.47,0.41,0.21,0.06,0.0,0.0,0.03,0.06,0.09,0.12,0.15,0.21,0.24,0.32,0.38,0.38,0.41,0.47,0.41,0.35,0.32,0.35,0.29,0.12,1
BL18 IN,0.04,0.0,0.0,0.03,0.13,0.26,0.17,0.15,0.16,0.21,0.25,0.28,0.31,0.36,0.56,0.93,0.8,0.52,0.47,0.44,0.12,0.04,0.0,0.0,0.02,0.12,0.26,0.17,0.14,0.16,0.21,0.24,0.27,0.3,0.46,0.66,0.88,0.67,0.42,0.4,0.37,0.11,0.04,0.0,0.0,0.02,0.1,0.24,0.15,0.13,0.15,0.2,0.24,0.26,0.28,0.35,0.55,0.89,0.72,0.48,0.47,0.46,0.13,0.05,0.0,0.0,0.03,0.12,0.26,0.17,0.14,0.17,0.23,0.27,0.29,0.31,0.36,0.58,0.95,0.78,0.53,0.53,0.51,0.15,0.09,0.0,0.0,0.03,0.12,0.25,0.17,0.16,0.18,0.24,0.29,0.33,0.35,0.42,0.63,1.0,0.81,0.55,0.56,0.63,0.26,0.09,0.0,0.0,0.03,0.05,0.1,0.13,0.14,0.18,0.22,0.3,0.36,0.42,0.52,0.62,0.62,0.52,0.48,0.54,0.6,0.26,0.05,0.0,0.0,0.03,0.04,0.08,0.1,0.11,0.15,0.19,0.26,0.34,0.4,0.47,0.56,0.54,0.46,0.44,0.48,0.47,0.13,1
BL19 IN,0.04,0.0,0.0,0.11,0.37,0.93,0.48,0.3,0.3,0.33,0.37,0.3,0.3,0.33,0.44,0.78,0.59,0.33,0.26,0.19,0.07,0.04,0.0,0.0,0.11,0.37,1.0,0.52,0.33,0.3,0.37,0.41,0.3,0.3,0.44,0.56,0.7,0.52,0.3,0.22,0.19,0.07,0.04,0.0,0.0,0.07,0.33,0.93,0.48,0.3,0.3,0.33,0.37,0.33,0.3,0.33,0.48,0.78,0.56,0.3,0.3,0.22,0.07,0.04,0.0,0.0,0.11,0.37,0.96,0.56,0.33,0.33,0.37,0.41,0.33,0.33,0.37,0.48,0.81,0.59,0.33,0.3,0.22,0.11,0.04,0.0,0.0,0.11,0.37,0.93,0.56,0.37,0.37,0.37,0.41,0.33,0.33,0.37,0.52,0.85,0.67,0.41,0.33,0.26,0.11,0.04,0.0,0.0,0.07,0.15,0.3,0.33,0.37,0.44,0.44,0.44,0.37,0.41,0.41,0.52,0.48,0.33,0.26,0.26,0.22,0.11,0.04,0.0,0.0,0.07,0.11,0.22,0.3,0.3,0.41,0.37,0.41,0.37,0.33,0.37,0.44,0.41,0.3,0.22,0.22,0.15,0.07,3
BL20 IN,0.04,0.0,0.0,0.11,0.37,0.96,0.52,0.3,0.3,0.3,0.33,0.3,0.26,0.33,0.41,0.56,0.41,0.26,0.19,0.15,0.07,0.04,0.0,0.0,0.11,0.41,1.0,0.52,0.33,0.3,0.33,0.33,0.3,0.26,0.37,0.41,0.52,0.37,0.22,0.19,0.15,0.07,0.04,0.0,0.0,0.07,0.33,0.93,0.48,0.3,0.3,0.3,0.33,0.3,0.26,0.3,0.41,0.56,0.41,0.22,0.22,0.19,0.07,0.04,0.0,0.0,0.11,0.37,1.0,0.52,0.33,0.3,0.33,0.33,0.26,0.26,0.3,0.41,0.59,0.44,0.26,0.22,0.19,0.07,0.04,0.0,0.0,0.11,0.37,0.96,0.52,0.33,0.33,0.33,0.33,0.3,0.3,0.33,0.44,0.63,0.48,0.3,0.26,0.22,0.11,0.04,0.0,0.0,0.07,0.15,0.3,0.37,0.37,0.44,0.44,0.44,0.41,0.33,0.37,0.48,0.44,0.3,0.22,0.22,0.19,0.11,0.0,0.0,0.0,0.07,0.11,0.22,0.3,0.33,0.37,0.37,0.37,0.37,0.33,0.3,0.37,0.33,0.26,0.19,0.19,0.15,0.07,3
