,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,cluster
BL11 OUT,0.04,0.0,0.0,0.04,0.19,0.61,0.31,0.31,0.4,0.45,0.52,0.49,0.46,0.48,0.65,0.8,0.58,0.42,0.38,0.28,0.12,0.03,0.0,0.0,0.04,0.19,0.61,0.32,0.31,0.38,0.44,0.49,0.45,0.43,0.56,0.65,0.71,0.49,0.34,0.31,0.24,0.1,0.03,0.0,0.0,0.04,0.18,0.57,0.3,0.29,0.38,0.44,0.51,0.51,0.47,0.49,0.66,0.82,0.56,0.41,0.38,0.29,0.12,0.03,0.0,0.0,0.04,0.19,0.62,0.33,0.32,0.41,0.47,0.53,0.49,0.46,0.51,0.68,0.85,0.61,0.42,0.4,0.31,0.13,0.06,0.0,0.0,0.05,0.2,0.62,0.34,0.35,0.44,0.52,0.58,0.53,0.52,0.56,0.75,1.0,0.76,0.52,0.47,0.4,0.16,0.06,0.0,0.0,0.03,0.1,0.25,0.32,0.43,0.61,0.68,0.77,0.73,0.72,0.77,0.86,0.8,0.62,0.52,0.49,0.41,0.18,0.04,0.0,0.0,0.03,0.08,0.18,0.26,0.38,0.54,0.61,0.72,0.72,0.68,0.66,0.72,0.63,0.49,0.42,0.39,0.31,0.13,2
BL12 OUT,0.01,0.0,0.0,0.17,0.35,0.59,0.37,0.33,0.36,0.42,0.43,0.38,0.39,0.43,0.65,0.73,0.43,0.29,0.26,0.16,0.05,0.01,0.0,0.0,0.14,0.33,0.59,0.35,0.3,0.34,0.4,0.41,0.36,0.37,0.48,0.62,0.61,0.35,0.25,0.22,0.14,0.04,0.01,0.0,0.0,0.11,0.29,0.52,0.31,0.28,0.32,0.38,0.4,0.37,0.36,0.4,0.61,0.66,0.38,0.27,0.26,0.17,0.05,0.01,0.0,0.0,0.15,0.35,0.61,0.36,0.3,0.35,0.42,0.43,0.38,0.38,0.44,0.68,0.76,0.44,0.31,0.29,0.19,0.06,0.02,0.0,0.0,0.15,0.36,0.59,0.38,0.34,0.39,0.47,0.48,0.44,0.45,0.54,0.87,1.0,0.61,0.41,0.37,0.26,0.09,0.02,0.0,0.0,0.15,0.26,0.45,0.44,0.44,0.51,0.57,0.62,0.57,0.54,0.64,0.72,0.57,0.43,0.38,0.37,0.28,0.1,0.01,0.0,0.0,0.11,0.19,0.36,0.37,0.39,0.46,0.52,0.57,0.56,0.57,0.61,0.68,0.55,0.44,0.41,0.32,0.19,0.06,2
BL13 OUT,0.0,0.0,0.0,0.06,0.35,0.94,0.41,0.2,0.2,0.22,0.27,0.22,0.16,0.16,0.22,0.31,0.16,0.08,0.08,0.06,0.02,0.0,0.0,0.0,0.08,0.37,1.0,0.45,0.22,0.22,0.22,0.25,0.2,0.16,0.18,0.24,0.27,0.14,0.08,0.08,0.06,0.02,0.0,0.0,0.0,0.06,0.33,0.9,0.39,0.2,0.2,0.25,0.29,0.22,0.16,0.16,0.24,0.37,0.18,0.1,0.1,0.08,0.02,0.0,0.0,0.0,0.08,0.37,0.96,0.45,0.24,0.22,0.25,0.27,0.24,0.18,0.18,0.24,0.35,0.18,0.1,0.1,0.08,0.02,0.02,0.0,0.0,0.08,0.35,0.96,0.45,0.24,0.22,0.25,0.29,0.24,0.2,0.18,0.27,0.39,0.22,0.1,0.1,0.1,0.04,0.02,0.0,0.0,0.06,0.14,0.27,0.25,0.22,0.25,0.29,0.27,0.22,0.18,0.18,0.25,0.2,0.12,0.1,0.1,0.1,0.04,0.0,0.0,0.0,0.04,0.1,0.25,0.25,0.24,0.25,0.22,0.22,0.2,0.16,0.14,0.18,0.16,0.1,0.08,0.1,0.06,0.02,0
BL14 OUT,0.02,0.0,0.0,0.07,0.27,0.96,0.51,0.35,0.31,0.35,0.4,0.38,0.33,0.31,0.36,0.47,0.33,0.18,0.15,0.11,0.04,0.02,0.0,0.0,0.05,0.29,1.0,0.53,0.35,0.29,0.33,0.36,0.33,0.29,0.33,0.35,0.44,0.27,0.15,0.13,0.09,0.04,0.02,0.0,0.0,0.05,0.25,0.89,0.45,0.33,0.29,0.33,0.38,0.38,0.33,0.33,0.36,0.49,0.31,0.18,0.16,0.11,0.04,0.02,0.0,0.0,0.07,0.27,0.96,0.53,0.36,0.33,0.36,0.4,0.38,0.33,0.33,0.38,0.53,0.35,0.18,0.16,0.13,0.04,0.02,0.0,0.0,0.05,0.27,0.95,0.53,0.38,0.35,0.4,0.44,0.44,0.36,0.36,0.42,0.62,0.44,0.22,0.2,0.15,0.05,0.02,0.0,0.0,0.05,0.11,0.24,0.36,0.45,0.51,0.56,0.65,0.67,0.6,0.53,0.49,0.42,0.27,0.2,0.18,0.15,0.05,0.02,0.0,0.0,0.04,0.07,0.2,0.31,0.42,0.45,0.47,0.56,0.62,0.53,0.42,0.36,0.31,0.22,0.16,0.15,0.11,0.04,2
BL15 OUT,0.01,0.0,0.0,0.06,0.23,0.6,0.46,0.44,0.47,0.53,0.46,0.41,0.39,0.39,0.5,0.71,0.47,0.23,0.16,0.1,0.04,0.01,0.0,0.0,0.06,0.23,0.61,0.47,0.47,0.47,0.53,0.46,0.4,0.37,0.46,0.49,0.64,0.4,0.19,0.13,0.09,0.03,0.01,0.0,0.0,0.06,0.21,0.54,0.43,0.43,0.46,0.54,0.47,0.43,0.4,0.4,0.53,0.74,0.46,0.23,0.16,0.11,0.04,0.01,0.0,0.0,0.07,0.23,0.6,0.49,0.46,0.5,0.56,0.5,0.46,0.4,0.43,0.56,0.83,0.51,0.24,0.17,0.11,0.04,0.03,0.0,0.0,0.07,0.23,0.6,0.47,0.51,0.54,0.59,0.54,0.5,0.44,0.46,0.63,1.0,0.66,0.31,0.23,0.16,0.06,0.03,0.0,0.0,0.04,0.1,0.2,0.39,0.57,0.7,0.74,0.74,0.67,0.6,0.63,0.73,0.61,0.43,0.27,0.21,0.16,0.07,0.01,0.0,0.0,0.04,0.07,0.14,0.3,0.43,0.59,0.61,0.59,0.54,0.5,0.49,0.56,0.46,0.3,0.2,0.16,0.1,0.04,2
BL16 OUT,0.02,0.0,0.0,0.07,0.33,0.98,0.53,0.36,0.38,0.4,0.43,0.4,0.34,0.34,0.45,0.66,0.41,0.21,0.16,0.09,0.03,0.02,0.0,0.0,0.07,0.31,1.0,0.57,0.38,0.38,0.38,0.41,0.38,0.33,0.36,0.43,0.57,0.36,0.19,0.14,0.09,0.03,0.02,0.0,0.0,0.07,0.29,0.88,0.5,0.33,0.38,0.38,0.45,0.41,0.36,0.38,0.48,0.71,0.43,0.22,0.16,0.1,0.03,0.02,0.0,0.0,0.07,0.31,1.0,0.57,0.36,0.4,0.41,0.47,0.41,0.36,0.38,0.5,0.76,0.47,0.24,0.17,0.1,0.03,0.03,0.0,0.0,0.07,0.31,0.98,0.55,0.38,0.41,0.45,0.5,0.43,0.38,0.4,0.55,0.88,0.62,0.31,0.24,0.17,0.09,0.03,0.0,0.0,0.03,0.09,0.21,0.31,0.4,0.55,0.55,0.59,0.55,0.52,0.52,0.64,0.6,0.4,0.28,0.24,0.19,0.09,0.02,0.0,0.0,0.03,0.05,0.14,0.22,0.31,0.47,0.45,0.47,0.45,0.41,0.41,0.48,0.43,0.28,0.19,0.16,0.12,0.03,2
BL17 OUT,0.02,0.0,0.0,0.05,0.24,1.0,0.62,0.33,0.31,0.31,0.33,0.29,0.26,0.26,0.36,0.5,0.31,0.17,0.12,0.1,0.02,0.0,0.0,0.0,0.07,0.24,1.0,0.64,0.36,0.31,0.31,0.33,0.26,0.24,0.29,0.33,0.45,0.29,0.14,0.12,0.07,0.02,0.02,0.0,0.0,0.05,0.21,0.9,0.55,0.31,0.29,0.31,0.33,0.29,0.26,0.26,0.38,0.55,0.33,0.17,0.14,0.1,0.05,0.02,0.0,0.0,0.05,0.24,1.0,0.62,0.36,0.33,0.33,0.36,0.31,0.26,0.26,0.38,0.62,0.36,0.17,0.14,0.1,0.05,0.02,0.0,0.0,0.07,0.24,1.0,0.62,0.36,0.36,0.36,0.38,0.33,0.31,0.31,0.43,0.69,0.5,0.24,0.19,0.14,0.07,0.02,0.0,0.0,0.05,0.07,0.17,0.29,0.36,0.48,0.48,0.45,0.43,0.38,0.38,0.48,0.45,0.29,0.19,0.17,0.14,0.05,0.02,0.0,0.0,0.05,0.05,0.12,0.21,0.29,0.4,0.38,0.38,0.38,0.31,0.31,0.38,0.33,0.21,0.14,0.14,0.1,0.05,0
BL18 OUT,0.01,0.0,0.0,0.08,0.33,0.98,0.53,0.34,0.31,0.32,0.33,0.29,0.27,0.27,0.35,0.46,0.3,0.17,0.14,0.1,0.03,0.01,0.0,0.0,0.08,0.34,1.0,0.53,0.32,0.29,0.31,0.3,0.28,0.25,0.29,0.35,0.41,0.26,0.14,0.12,0.09,0.03,0.01,0.0,0.0,0.07,0.29,0.88,0.46,0.3,0.28,0.31,0.32,0.29,0.27,0.26,0.35,0.47,0.29,0.17,0.15,0.12,0.04,0.01,0.0,0.0,0.08,0.34,0.99,0.54,0.35,0.31,0.32,0.34,0.31,0.27,0.27,0.37,0.51,0.33,0.19,0.16,0.13,0.04,0.02,0.0,0.0,0.09,0.34,0.96,0.53,0.35,0.35,0.35,0.37,0.35,0.3,0.32,0.43,0.64,0.46,0.25,0.21,0.17,0.06,0.02,0.0,0.0,0.05,0.1,0.18,0.25,0.38,0.44,0.46,0.5,0.48,0.43,0.43,0.49,0.43,0.29,0.21,0.19,0.16,0.06,0.01,0.0,0.0,0.04,0.06,0.12,0.19,0.34,0.4,0.4,0.42,0.42,0.37,0.36,0.37,0.33,0.23,0.18,0.16,0.11,0.04,0
BL19 OUT,0.04,0.0,0.0,0.08,0.38,0.83,0.58,0.33,0.25,0.33,0.33,0.33,0.33,0.42,0.62,0.96,0.71,0.46,0.46,0.33,0.12,0.04,0.0,0.0,0.08,0.42,0.88,0.58,0.33,0.29,0.33,0.33,0.33,0.38,0.58,0.71,0.88,0.58,0.38,0.38,0.33,0.12,0.04,0.0,0.0,0.04,0.33,0.75,0.5,0.29,0.29,0.33,0.33,0.33,0.33,0.42,0.62,0.96,0.67,0.46,0.46,0.38,0.17,0.08,0.0,0.0,0.08,0.42,0.83,0.58,0.33,0.29,0.38,0.33,0.33,0.38,0.46,0.62,1.0,0.71,0.46,0.5,0.42,0.17,0.08,0.0,0.0,0.08,0.38,0.88,0.62,0.38,0.33,0.33,0.38,0.38,0.42,0.46,0.67,1.0,0.71,0.46,0.5,0.46,0.21,0.08,0.0,0.0,0.04,0.12,0.25,0.29,0.33,0.33,0.38,0.38,0.42,0.42,0.5,0.58,0.58,0.38,0.42,0.46,0.46,0.21,0.04,0.0,0.0,0.04,0.12,0.17,0.25,0.25,0.29,0.29,0.33,0.33,0.42,0.46,0.54,0.5,0.42,0.42,0.46,0.33,0.17,3
BL20 OUT,0.05,0.0,0.0,0.09,0.32,0.55,0.41,0.23,0.27,0.32,0.32,0.36,0.36,0.41,0.59,1.0,0.73,0.5,0.5,0.41,0.18,0.05,0.0,0.0,0.09,0.32,0.55,0.41,0.23,0.23,0.32,0.36,0.32,0.36,0.59,0.68,0.86,0.64,0.41,0.45,0.36,0.14,0.05,0.0,0.0,0.05,0.27,0.5,0.36,0.23,0.23,0.32,0.32,0.32,0.32,0.41,0.59,0.95,0.68,0.5,0.55,0.45,0.18,0.05,0.0,0.0,0.09,0.27,0.55,0.41,0.23,0.23,0.32,0.32,0.32,0.32,0.41,0.64,1.0,0.73,0.5,0.55,0.45,0.18,0.09,0.0,0.0,0.09,0.27,0.55,0.41,0.27,0.23,0.36,0.36,0.36,0.36,0.45,0.64,1.0,0.73,0.5,0.59,0.55,0.27,0.09,0.0,0.0,0.05,0.14,0.23,0.27,0.27,0.27,0.36,0.41,0.41,0.45,0.5,0.59,0.55,0.45,0.45,0.55,0.55,0.23,0.05,0.0,0.0,0.05,0.14,0.18,0.18,0.18,0.23,0.32,0.36,0.41,0.41,0.45,0.55,0.5,0.45,0.45,0.5,0.41,0.18,3
